q_idx,tag_ok_ave,tag_ok_any,pass_rate,pass@1,pass@2,pass@4,pass@8,len_min,len_max,len_mean,len_std,entropy_mean,entropy_std,entropy_max,entropy_p95
0,0.75,1,0.375,1,1,1,1,56,200,133.0,52.99764145695542,0.449951171875,1.119140625,11.390625,2.904296875
1,1.0,1,0.875,1,1,1,1,48,168,78.125,38.231000183097485,0.52978515625,1.2666015625,8.0078125,3.0406249999999995
2,0.875,1,0.125,0,0,0,1,84,165,118.125,23.051233698004104,0.3447265625,1.021484375,13.875,1.969042968749991
3,1.0,1,0.875,1,1,1,1,42,73,57.875,8.823795951856548,0.432861328125,1.2421875,15.25,2.728515625
4,1.0,1,1.0,1,1,1,1,81,94,88.625,5.048205126577168,0.2454833984375,0.85498046875,7.01953125,1.2966796874999962
5,1.0,1,0.75,0,1,1,1,82,155,108.0,27.468163389640743,0.43896484375,1.099609375,13.25,2.5210937499999995
6,1.0,1,0.75,0,1,1,1,96,179,144.875,21.560597742177745,0.2489013671875,0.94287109375,11.9453125,1.3813476562499991
7,1.0,1,0.0,0,0,0,0,71,159,102.125,25.399003425331475,0.5322265625,1.126953125,9.5859375,2.9345703125
8,0.5,1,0.0,0,0,0,0,120,200,179.25,26.85493436968335,0.3212890625,0.80859375,7.8515625,1.9267578125
9,1.0,1,0.875,1,1,1,1,123,176,148.25,17.533895745098977,0.273193359375,0.796875,9.953125,1.693212890625
10,1.0,1,0.25,0,1,1,1,63,116,83.875,15.99560486508716,0.35009765625,0.8935546875,6.7734375,2.1919921874999906
11,1.0,1,0.875,1,1,1,1,64,90,79.5,8.930285549745875,0.416259765625,1.1123046875,9.65625,2.40234375
12,0.5,1,0.0,0,0,0,0,132,200,171.625,27.959513139538036,0.390625,1.1357421875,14.4765625,2.2573242187499996
13,1.0,1,0.5,1,1,1,1,34,106,69.375,21.656047076971365,0.55712890625,1.1708984375,9.359375,3.2187500000000004
14,1.0,1,0.75,0,1,1,1,69,123,94.5,17.255433926737396,0.303466796875,0.79443359375,5.94921875,1.9331542968749953
15,1.0,1,0.75,1,1,1,1,30,71,49.375,13.972629494837397,0.5517578125,1.1494140625,6.671875,3.3788085937499983
16,1.0,1,0.625,0,0,1,1,55,143,77.125,25.896126640870445,0.4453125,1.111328125,9.5625,2.995703124999997
17,1.0,1,0.875,1,1,1,1,83,136,116.875,16.578883406309366,0.36181640625,0.97998046875,7.97265625,2.267578125
18,1.0,1,0.875,1,1,1,1,101,161,128.625,22.599433068110358,0.26806640625,0.9677734375,10.4296875,1.5973632812499994
19,1.0,1,0.75,1,1,1,1,63,141,97.5,23.318447632722037,0.462890625,1.466796875,13.609375,2.5876953124999997
20,1.0,1,1.0,1,1,1,1,51,92,74.75,11.850632894491332,0.41943359375,0.9990234375,6.96875,2.4066406249999996
21,1.0,1,0.25,0,1,1,1,30,157,80.75,38.73225400102607,0.43896484375,1.1142578125,8.703125,2.301562499999994
22,0.75,1,0.5,0,0,1,1,100,191,139.25,33.345726862673125,0.45654296875,1.1826171875,10.734375,2.9615234374999995
23,0.875,1,0.125,0,0,0,1,77,194,137.5,36.62308015445998,0.337890625,0.962890625,8.78125,2.1448242187500033
24,1.0,1,0.875,1,1,1,1,56,120,78.625,18.53333145983204,0.50390625,1.294921875,16.53125,2.898437499999999
25,1.0,1,0.875,1,1,1,1,48,175,124.75,40.52699717472293,0.2890625,0.8671875,9.453125,1.9498046874999868
