experiment_name,config_type,buffer_size,batch_size,step,pass_rate,pass_at_1,pass_at_2,pass_at_4,pass_at_8
batch64_run,batch_size_64,64,64,10,0.5412,0.5491,0.6825,0.8056,0.8738
batch64_run,batch_size_64,64,64,20,0.5556,0.5584,0.6980,0.8335,0.9049
batch64_run,batch_size_64,64,64,30,0.5646,0.5584,0.7166,0.8232,0.8976
batch64_run,batch_size_64,64,64,40,0.5706,0.5564,0.7022,0.8356,0.9069
batch64_run,batch_size_64,64,64,50,0.5627,0.5460,0.7094,0.8252,0.8945
batch64_run,batch_size_64,64,64,60,0.5773,0.5853,0.7311,0.8356,0.9121
batch128_run,batch_size_128,128,128,10,0.5485,0.5305,0.7094,0.8335,0.9038
batch128_run,batch_size_128,128,128,20,0.5658,0.5770,0.7311,0.8397,0.9090
batch128_run,batch_size_128,128,128,30,0.5729,0.5646,0.7353,0.8325,0.9080
batch128_run,batch_size_128,128,128,40,0.5739,0.5708,0.7218,0.8314,0.8987
batch128_run,batch_size_128,128,128,50,0.5834,0.5936,0.7353,0.8366,0.9007
batch128_run,batch_size_128,128,128,60,0.5898,0.6008,0.7415,0.8438,0.9121
batch128_run,batch_size_128,128,128,64,0.5909,0.5781,0.7239,0.8356,0.9059
buffer256_run,buffer_size_256,256,32,20,0.5685,0.5729,0.7229,0.8511,0.9152
buffer256_run,buffer_size_256,256,32,30,0.5728,0.5636,0.7260,0.8304,0.9028
buffer256_run,buffer_size_256,256,32,40,0.5854,0.6050,0.7456,0.8490,0.9069
buffer256_run,buffer_size_256,256,32,50,0.5927,0.5936,0.7332,0.8469,0.9173
buffer256_run,buffer_size_256,256,32,60,0.6090,0.6112,0.7559,0.8583,0.9131
buffer256_run,buffer_size_256,256,32,64,0.6094,0.6194,0.7477,0.8511,0.9204
