q_idx,tag_ok_ave,tag_ok_any,pass_rate,pass@1,pass@2,pass@4,pass@8,len_min,len_max,len_mean,len_std,entropy_mean,entropy_std,entropy_max,entropy_p95
0,0.75,1,0.5,0,0,1,1,99,200,146.75,34.87746407065743,0.5,1.1806640625,11.46875,3.079003906249999
1,1.0,1,0.875,1,1,1,1,38,73,55.625,10.546770832818925,0.56884765625,1.3310546875,14.9453125,3.159570312499999
2,0.875,1,0.125,0,0,1,1,108,190,140.125,28.175510199462227,0.340087890625,0.94189453125,12.296875,1.8741210937499988
3,1.0,1,0.875,1,1,1,1,36,66,58.375,9.551668702378658,0.397216796875,0.9697265625,5.48828125,2.622265624999991
4,1.0,1,1.0,1,1,1,1,60,110,88.0,13.45362404707371,0.306884765625,1.0166015625,9.625,2.0265625
5,1.0,1,0.875,1,1,1,1,74,111,88.875,13.504050318330423,0.449462890625,1.1064453125,7.94921875,2.896093749999997
6,0.875,1,0.75,1,1,1,1,84,200,128.0,33.10211473607087,0.27783203125,0.98876953125,9.0234375,1.6875488281250013
7,1.0,1,0.0,0,0,0,0,76,161,110.5,24.57132475061123,0.7138671875,1.466796875,15.2890625,3.7171874999999996
8,0.375,1,0.0,0,0,0,0,116,200,177.625,34.77764188383105,0.30419921875,0.80517578125,8.671875,1.92333984375
9,0.75,1,0.625,1,1,1,1,107,200,158.875,31.774350898169423,0.2958984375,0.86669921875,8.078125,1.708789062500001
10,1.0,1,0.25,0,0,1,1,60,103,77.875,14.304173342070488,0.385498046875,0.974609375,6.44140625,2.65771484375
11,1.0,1,0.75,1,1,1,1,64,107,87.875,12.72239659026553,0.465087890625,1.2392578125,12.5625,2.89453125
12,1.0,1,0.0,0,0,0,0,80,180,136.75,25.883150890106098,0.361083984375,0.94384765625,10.53125,2.2155273437499816
13,1.0,1,0.125,0,1,1,1,39,152,80.375,32.91632383787716,0.51611328125,1.1298828125,9.609375,2.763085937499999
14,1.0,1,0.625,0,1,1,1,60,95,80.0,10.606601717798213,0.329345703125,0.83251953125,6.05859375,2.433984374999998
15,1.0,1,0.75,1,1,1,1,39,96,60.25,15.966762351835765,0.61865234375,1.2939453125,8.015625,3.359375
16,1.0,1,0.875,1,1,1,1,38,167,89.875,34.59565543532887,0.5751953125,1.3525390625,9.5859375,3.4754882812499996
17,0.875,1,0.75,1,1,1,1,87,200,133.25,30.235533731025818,0.356201171875,1.009765625,11.25,2.128027343749996
18,1.0,1,0.75,0,1,1,1,104,148,121.75,17.108112110925624,0.222412109375,0.86328125,10.1015625,1.3207031249999934
19,1.0,1,0.375,1,1,1,1,40,160,84.75,34.92402468215827,0.427978515625,1.2353515625,14.203125,2.4515624999999943
20,1.0,1,0.5,1,1,1,1,35,80,61.375,14.966107543379474,0.463623046875,1.0390625,7.33984375,2.537402343750003
21,1.0,1,0.25,0,1,1,1,53,163,97.625,37.79198823824965,0.55517578125,1.3076171875,12.9375,2.890625
22,1.0,1,0.75,1,1,1,1,82,171,122.625,30.012237087561466,0.47119140625,1.1904296875,12.9375,2.895214843749998
23,1.0,1,0.25,0,0,0,1,79,148,99.875,22.13841401275168,0.364990234375,1.0703125,12.171875,2.1145507812499993
24,1.0,1,1.0,1,1,1,1,37,86,65.25,18.945645937787393,0.446044921875,1.115234375,8.875,2.69482421875
25,1.0,1,1.0,1,1,1,1,76,182,141.25,31.34784681600955,0.245361328125,0.71142578125,6.75,1.715576171875
26,1.0,1,0.875,1,1,1,1,68,115,89.375,15.041089554949137,0.35302734375,1.04296875,9.1953125,2.013671875
27,1.0,1,0.625,1,1,1,1,77,126,99.875,14.658082241548517,0.363525390625,0.89404296875,7.453125,1.98779296875
28,1.0,1,0.875,1,1,1,1,68,141,98.875,23.288610413676466,0.44091796875,1.12890625,9.921875,2.674414062499998
29,0.625,1,0.25,0,0,1,1,97,200,162.375,36.85423143955114,0.411376953125,0.9580078125,8.296875,2.43310546875
30,0.875,1,0.25,0,0,1,1,41,200,113.375,42.01766741502912,0.515625,1.0927734375,8.609375,2.8776367187499927
31,0.875,1,0.75,1,1,1,1,33,99,69.375,19.058708639359594,0.404296875,1.193359375,12.21875,2.7415039062499975
32,1.0,1,1.0,1,1,1,1,41,83,69.375,13.237612133613826,0.288330078125,0.79541015625,8.8359375,1.896093749999998
33,1.0,1,0.125,0,1,1,1,78,169,112.625,34.047531114605064,0.370849609375,1.0703125,10.3203125,2.1082031249999993
34,1.0,1,1.0,1,1,1,1,49,110,78.375,19.052148828937906,0.3251953125,0.931640625,9.046875,2.09033203125
35,1.0,1,0.625,0,1,1,1,76,147,101.0,23.27015255644019,0.36767578125,0.98681640625,10.2734375,2.089746093749995
36,1.0,1,0.75,0,1,1,1,44,163,83.625,36.072626394539114,0.4853515625,1.3017578125,10.4375,2.984667968749999
37,0.75,1,0.25,1,1,1,1,54,189,110.25,35.48150926891358,0.56494140625,1.333984375,13.0,3.0595703125
38,0.875,1,0.375,0,1,1,1,71,200,132.125,40.765909471027385,0.468017578125,1.134765625,9.234375,2.69921875
39,1.0,1,0.5,1,1,1,1,36,140,83.375,34.863797483923065,0.474853515625,1.1826171875,12.203125,2.630859375
40,1.0,1,0.875,1,1,1,1,44,72,60.5,10.523782589924593,0.424072265625,1.0322265625,9.21875,2.555273437500005
41,1.0,1,1.0,1,1,1,1,40,71,57.5,10.344080432788601,0.56494140625,1.1640625,8.046875,3.0859375
42,1.0,1,0.75,1,1,1,1,64,157,108.75,27.909451804003602,0.364501953125,0.96142578125,8.2265625,2.258593749999999
43,1.0,1,0.75,1,1,1,1,24,93,52.0,23.425413550244958,0.499755859375,1.42578125,12.7109375,2.940722656249981
44,1.0,1,0.5,1,1,1,1,81,153,112.75,28.23893588646711,0.43603515625,1.0888671875,14.2109375,2.435058593749999
45,1.0,1,0.625,0,0,1,1,78,125,102.5,15.182226450688976,0.32177734375,0.84423828125,8.21875,1.8500488281249994
46,0.875,1,0.0,0,0,0,0,94,192,129.625,31.725137903561585,0.485107421875,1.09375,11.65625,2.811328124999992
47,1.0,1,0.625,1,1,1,1,57,124,82.375,22.57176056491828,0.328369140625,0.775390625,6.609375,1.7862304687500001
48,1.0,1,0.625,0,1,1,1,71,124,93.75,18.599395151455866,0.432861328125,1.0771484375,10.09375,2.46923828125
49,1.0,1,1.0,1,1,1,1,67,110,81.5,16.941074346097416,0.2418212890625,0.82666015625,9.90625,1.7763671875
